Id,Label,Tweetword,Date
146,RGuad08,night at the museum,Mon Apr 06 22:28:05 PDT 2009
147,xshallsx,night at the museum,Mon Apr 06 22:28:07 PDT 2009
148,EconomyUpdates,gm,Mon Apr 06 22:28:09 PDT 2009
149,mshbrown,gm,Mon Apr 06 22:28:11 PDT 2009
150,misschris62,gm,Mon Apr 06 22:28:11 PDT 2009
151,artbynemo,gm,Mon Apr 06 22:28:15 PDT 2009
152,windhamgirl,time warner,Mon Apr 06 22:28:18 PDT 2009
153,mmmPi,time warner,Mon Apr 06 22:28:21 PDT 2009
154,NDEddieMac,time warner,Mon Apr 06 22:28:23 PDT 2009
155,yourboysdot,time warner,Mon Apr 06 22:28:24 PDT 2009
156,Shazzainla,time warner,Mon Apr 06 22:28:24 PDT 2009
157,dstalk,time warner,Mon Apr 06 22:28:26 PDT 2009
158,ernestalfonso,time warner,Mon Apr 06 22:28:26 PDT 2009
159,kaaatiee,time warner,Mon Apr 06 22:28:33 PDT 2009
160,JasonNegron,time warner,Mon Apr 06 22:28:32 PDT 2009
161,elphabablue,time warner,Mon Apr 06 22:28:32 PDT 2009
162,gabe_rp,time warner,Mon Apr 06 22:28:38 PDT 2009
163,JoeyCircles,time warner,Mon Apr 06 22:28:38 PDT 2009
164,ScooPost,time warner,Mon Apr 06 22:28:45 PDT 2009
165,adamjleach,time warner,Mon Apr 06 22:28:48 PDT 2009
166,HYPHYROCKSTAR,china,Mon Apr 06 22:28:51 PDT 2009
167,BreakingBizNews,china,Mon Apr 06 22:30:34 PDT 2009
168,myfoxdc,china,Mon Apr 06 22:30:34 PDT 2009
169,drlombardo,china,Mon Apr 06 22:30:45 PDT 2009
170,sinostream,gm,Mon Apr 06 22:30:50 PDT 2009
171,hammerauto,gm,Mon Apr 06 22:30:54 PDT 2009
172,scoralli,surgery,Mon Apr 06 22:30:55 PDT 2009
173,sardonnica,dentist,Mon Apr 06 22:30:56 PDT 2009
174,BChasnov,dentist,Mon Apr 06 22:31:05 PDT 2009
175,LILJIZZEL,dentist,Mon Apr 06 22:31:09 PDT 2009
176,giz2000,dentist,Mon Apr 06 22:31:15 PDT 2009
177,cmonaussiecmon,dentist,Mon Apr 06 22:31:18 PDT 2009
178,sorayabouby,dentist,Mon Apr 06 22:31:29 PDT 2009
179,jeffreymodest,dentist,Mon Apr 06 22:31:31 PDT 2009
180,yowneh,dentist,Mon Apr 06 22:31:37 PDT 2009
181,CWilliams_Rltr,dentist,Mon Apr 06 22:31:35 PDT 2009
182,SimpleManJess,baseball,Mon Apr 06 22:31:40 PDT 2009
183,H3LLGWAR,baseball,Mon Apr 06 22:31:41 PDT 2009
184,LouisvilleGrads,baseball,Mon Apr 06 22:31:43 PDT 2009
185,SwainFamily,sony,Mon Apr 06 22:31:45 PDT 2009
186,neeeelia,safeway,Mon Apr 06 22:31:48 PDT 2009
187,ryanlipert,safeway,Mon Apr 06 22:31:50 PDT 2009
188,evan,safeway,Mon Apr 06 22:31:54 PDT 2009
189,ronjon,safeway,Mon Apr 06 22:31:56 PDT 2009
190,missleigh,safeway,Mon Apr 06 22:31:57 PDT 2009
191,SharkKMV,safeway,Mon Apr 06 22:31:59 PDT 2009
192,bosZmom,safeway,Mon Apr 06 22:32:02 PDT 2009
193,penlynwilson,safeway,Mon Apr 06 22:32:06 PDT 2009
194,mobileadgirl,safeway,Mon Apr 06 22:32:12 PDT 2009
195,phantomzangel,safeway,Mon Apr 06 22:32:16 PDT 2009
196,BreezB,safeway,Mon Apr 06 22:32:20 PDT 2009
197,nonstopdiets,eating,Mon Apr 06 22:32:22 PDT 2009
198,janelleshanks,eating,Mon Apr 06 22:32:23 PDT 2009
199,hanaho,eating,Mon Apr 06 22:32:28 PDT 2009
200,Fiel,eating,Mon Apr 06 22:32:28 PDT 2009
201,aaindefenzo,eating,Mon Apr 06 22:32:30 PDT 2009
202,CrownRoyal8,nike,Mon Apr 06 22:32:31 PDT 2009
203,MrGQ,nike,Mon Apr 06 22:32:36 PDT 2009
204,ngngfrancis,nike,Mon Apr 06 22:32:35 PDT 2009
205,mikelongden,nike,Mon Apr 06 22:32:38 PDT 2009
206,imgsearch,jquery,Mon Apr 06 22:32:40 PDT 2009
207,teagone,jquery,Mon Apr 06 22:32:50 PDT 2009
208,marcroberts,jquery,Mon Apr 06 22:32:51 PDT 2009
209,jacobrothstein,jquery,Mon Apr 06 22:32:54 PDT 2009
210,bedroomation,jquery,Mon Apr 06 22:32:58 PDT 2009
211,vmkobs,jquery,Mon Apr 06 22:33:00 PDT 2009
212,NewTechBooks,jquery,Mon Apr 06 22:33:01 PDT 2009
213,adthomas3,warren buffet,Mon Apr 06 22:33:11 PDT 2009
214,Alfred04654,warren buffet,Mon Apr 06 22:33:13 PDT 2009
215,LovelyMiska,warren buffet,Mon Apr 06 22:33:13 PDT 2009
216,adamgilmer,warren buffet,Mon Apr 06 22:33:16 PDT 2009
217,PatfaceCatface,notre dame school,Mon Apr 06 22:33:20 PDT 2009
218,MY_NBA_PLAYOFFS,notre dame school,Mon Apr 06 22:33:21 PDT 2009
219,rachaelbender,kindle2,Mon Apr 06 22:33:25 PDT 2009
220,aqrinc,kindle2,Mon Apr 06 22:33:31 PDT 2009
221,davepurcell,time warner,Mon Apr 06 22:33:32 PDT 2009
222,MarleyLuv26,time warner,Mon Apr 06 22:33:32 PDT 2009
223,acomicbookgirl,time warner,Mon Apr 06 22:33:34 PDT 2009
224,MichelleEReagan,time warner,Mon Apr 06 22:33:35 PDT 2009
225,jpaje11,time warner,Mon Apr 06 22:33:35 PDT 2009
226,JessSlevin,time warner,Mon Apr 06 22:33:44 PDT 2009
227,jworthington,federer,Mon Apr 06 22:35:29 PDT 2009
228,R0B3rt2,naive bayes,Mon Apr 06 22:35:29 PDT 2009
229,TammyT,stanford,Mon Apr 06 22:35:31 PDT 2009
230,elliottng,stanford,Mon Apr 06 22:35:31 PDT 2009
231,Shibuki_kun,stanford,Mon Apr 06 22:35:35 PDT 2009
232,painhatelove,car warranty call,Mon Apr 06 22:35:36 PDT 2009
233,russdavisdotcom,car warranty call,Mon Apr 06 22:35:40 PDT 2009
234,jamesmakeseyes,atandt,Mon Apr 06 22:35:40 PDT 2009
235,mikeyil,atandt,Mon Apr 06 22:35:41 PDT 2009
236,nakiasmile,atandt,Mon Apr 06 22:35:43 PDT 2009
237,wiiskey,atandt,Mon Apr 06 22:35:44 PDT 2009
238,brkd,atandt,Mon Apr 06 22:35:46 PDT 2009
239,jesusmbaez,atandt,Mon Apr 06 22:35:46 PDT 2009
240,ClaystationX,atandt,Mon Apr 06 22:35:51 PDT 2009
241,matthewphewes,atandt,Mon Apr 06 22:35:50 PDT 2009
242,chelseabot,atandt,Mon Apr 06 22:35:50 PDT 2009
243,girgely,wave sandbox,Mon Apr 06 22:35:50 PDT 2009
244,StrategisAdv,bing,Mon Apr 06 22:35:51 PDT 2009
245,fabulousaura,summize,Mon Apr 06 22:35:51 PDT 2009
246,drylight,google,Mon Apr 06 22:35:52 PDT 2009
247,ManiKarthik,google,Mon Apr 06 22:35:56 PDT 2009
248,jhall515,kindle2,Mon Apr 06 22:35:59 PDT 2009
249,HappyWino,kindle2,Mon Apr 06 22:35:59 PDT 2009
250,Teaguem2005,kindle2,Mon Apr 06 22:36:02 PDT 2009
251,dailysourcedev,aig,Mon Apr 06 22:36:03 PDT 2009
252,gandhirama,twitter,Mon Apr 06 22:36:06 PDT 2009
253,delpop,twitter,Mon Apr 06 22:36:06 PDT 2009
254,lingbellbell,obama,Mon Apr 06 22:36:10 PDT 2009
255,motsandco,obama,Mon Apr 06 22:36:15 PDT 2009
256,mickou,obama,Mon Apr 06 22:36:16 PDT 2009
257,meggentile,obama,Mon Apr 06 22:36:19 PDT 2009
258,failness,obama,Mon Apr 06 22:36:20 PDT 2009
259,kledy,obama,Mon Apr 06 22:36:26 PDT 2009
260,LaurelEdelstein,obama,Mon Apr 06 22:36:27 PDT 2009
261,chelseabigass,lebron,Mon Apr 06 22:36:33 PDT 2009
262,Smitty478,lebron,Mon Apr 06 22:36:38 PDT 2009
263,PurpleGorillaZz,lebron,Mon Apr 06 22:36:39 PDT 2009
264,MsStacha,lebron,Mon Apr 06 22:36:51 PDT 2009
265,undefeated310,lebron,Mon Apr 06 22:36:52 PDT 2009
266,BI_POLAROID,lebron,Mon Apr 06 22:36:54 PDT 2009
267,IAmNoeAngel,lebron,Mon Apr 06 22:37:03 PDT 2009
268,ksmedia,lebron,Mon Apr 06 22:37:04 PDT 2009
269,PrEttIBoIGaRy,lebron,Mon Apr 06 22:37:07 PDT 2009
270,kellan38,lebron,Mon Apr 06 22:37:16 PDT 2009
271,LovelyMiska,aig,Mon Apr 06 22:20:00 PDT 2009
272,jsincere150,world cup,Mon Apr 06 22:37:22 PDT 2009
273,biren,world cup 2010,Mon Apr 06 22:37:23 PDT 2009
274,DoAndroidsDream,fred wilson,Mon Apr 06 22:37:26 PDT 2009
275,Moc5085,booz allen,Mon Apr 06 22:37:36 PDT 2009
276,citizenofindia,indian election,Mon Apr 06 22:37:35 PDT 2009
277,Melonze,kindle2,Mon Apr 06 22:37:40 PDT 2009
278,SPReviews,kindle2,Mon Apr 06 22:37:41 PDT 2009
279,ha_nobita,40d,Mon Apr 06 22:37:41 PDT 2009
280,Jen2Squared,40d,Mon Apr 06 22:37:44 PDT 2009
281,LovelyMiska,Danny Gokey,Mon Apr 06 22:20:00 PDT 2009
282,__new,india election,Mon Apr 06 22:37:46 PDT 2009
283,BillVick,google,Mon Apr 06 22:37:46 PDT 2009
284,xmikeflhxcx,itchy,Mon Apr 06 22:37:49 PDT 2009
285,Timl9068,itchy,Mon Apr 06 22:37:57 PDT 2009
286,PassionModel,stanford,Mon Apr 06 22:37:59 PDT 2009
287,TechUpdater,stanford,Mon Apr 06 22:38:04 PDT 2009
288,robotickilldozr,lyx,Mon Apr 06 22:38:04 PDT 2009
289,TheDALiSiA,Danny Gokey,Mon Apr 06 22:38:04 PDT 2009
290,fashion_retweet,Danny Gokey,Mon Apr 06 22:38:08 PDT 2009
291,angelkim17,Danny Gokey,Mon Apr 06 22:38:14 PDT 2009
292,download11,gm,Mon Apr 06 22:38:18 PDT 2009
293,nichole17,sleep,Mon Apr 06 22:38:20 PDT 2009
294,xstaylor,san francisco,Mon Apr 06 22:38:20 PDT 2009
295,miwahh,san francisco,Mon Apr 06 22:38:20 PDT 2009
296,bKnapp,san francisco,Mon Apr 06 22:38:24 PDT 2009
297,rayceja,san francisco,Mon Apr 06 22:38:26 PDT 2009
298,deepikaC,san francisco,Mon Apr 06 22:38:30 PDT 2009
299,kaaslaw,aig,Mon Apr 06 22:38:28 PDT 2009
300,Pgobb,star trek,Mon Apr 06 22:38:32 PDT 2009
301,qrboy85,star trek,Mon Apr 06 22:38:37 PDT 2009
302,LovelyMiska,itchy,Mon Apr 06 22:20:00 PDT 2009
303,adamrisser,star trek,Mon Apr 06 22:38:39 PDT 2009
304,GoodPhoenix,Malcolm Gladwell,Mon Apr 06 22:38:44 PDT 2009
305,silentcarto,Malcolm Gladwell,Mon Apr 06 22:40:15 PDT 2009
306,kerrrrrr,Malcolm Gladwell,Mon Apr 06 22:40:18 PDT 2009
307,bling_crosby,Malcolm Gladwell,Mon Apr 06 22:40:20 PDT 2009
308,ripplemdk,Malcolm Gladwell,Mon Apr 06 22:40:24 PDT 2009
309,drewlew34,Malcolm Gladwell,Mon Apr 06 22:40:24 PDT 2009
310,MrsGinobili,comcast,Mon Apr 06 22:40:26 PDT 2009
311,stormygirl223,comcast,Mon Apr 06 22:40:30 PDT 2009
312,theZoctor,comcast,Mon Apr 06 22:40:33 PDT 2009
313,motkeps,comcast,Mon Apr 06 22:40:36 PDT 2009
314,YouAnswer,twitter api,Mon Apr 06 22:40:38 PDT 2009
315,marekdsi,twitter api,Mon Apr 06 22:40:43 PDT 2009
316,mikecane,twitter api,Mon Apr 06 22:40:40 PDT 2009
317,trivektor,twitter api,Mon Apr 06 22:40:48 PDT 2009
318,rdoc420,twitter api,Mon Apr 06 22:41:07 PDT 2009
319,Hot_Tweets,twitter api,Mon Apr 06 22:41:06 PDT 2009
320,jeffswhite,wolfram alpha,Mon Apr 06 22:41:09 PDT 2009
321,marriop,wolfram alpha,Mon Apr 06 22:41:15 PDT 2009
322,kewpiezmom,nike,Mon Apr 06 22:41:16 PDT 2009
323,Chet_Lemon,nike,Mon Apr 06 22:41:19 PDT 2009
324,sneakerfiles,nike,Mon Apr 06 22:41:20 PDT 2009
325,nikeblog,nike,Mon Apr 06 22:41:20 PDT 2009
326,laurenornot,nike,Mon Apr 06 22:41:22 PDT 2009
327,julieules,shoreline amphitheatre,Mon Apr 06 22:41:25 PDT 2009
328,gux_kung,weka,Mon Apr 06 22:41:27 PDT 2009
329,GrfxGuru,50d,Mon Apr 06 22:41:29 PDT 2009
330,joelgoodman,50d,Mon Apr 06 22:41:29 PDT 2009
331,trevorcgibson,50d,Mon Apr 06 22:41:33 PDT 2009
332,ashpeckham,50d,Mon Apr 06 22:41:36 PDT 2009
333,davidivins,lambda calculus,Mon Apr 06 22:41:52 PDT 2009
334,SCSanFrancisco,east palo alto,Mon Apr 06 22:41:51 PDT 2009
335,nfarzan,east palo alto,Mon Apr 06 22:41:54 PDT 2009
336,tylerlin,stanford,Mon Apr 06 22:41:54 PDT 2009
337,souleaterjh,stanford,Mon Apr 06 22:41:54 PDT 2009
338,MbaAdmission,stanford,Mon Apr 06 22:41:55 PDT 2009
339,narain,stanford,Mon Apr 06 22:41:56 PDT 2009
340,JuanGir,lakers,Mon Apr 06 22:41:57 PDT 2009
341,Alexi_G,lakers,Mon Apr 06 22:41:59 PDT 2009
342,one_eighteen,north korea,Mon Apr 06 22:42:00 PDT 2009
343,FOLKTALE09,north korea,Mon Apr 06 22:42:07 PDT 2009
344,Mvsic,north korea,Mon Apr 06 22:42:06 PDT 2009
345,CFURNAROS,pelosi,Mon Apr 06 22:42:08 PDT 2009
346,Rachael90210,pelosi,Mon Apr 06 22:42:10 PDT 2009
347,TylerSchmidt,pelosi,Mon Apr 06 22:42:18 PDT 2009
348,KayJay_x,insects,Mon Apr 06 22:42:19 PDT 2009
349,BecCrew,insects,Mon Apr 06 22:42:22 PDT 2009
350,euthanasia86,insects,Mon Apr 06 22:42:28 PDT 2009
351,connlocks,mcdonalds,Mon Apr 06 22:42:28 PDT 2009
352,MamiYessi,mcdonalds,Mon Apr 06 22:42:30 PDT 2009
353,Yuleineeee,mcdonalds,Mon Apr 06 22:42:30 PDT 2009
354,XrachulX,mcdonalds,Mon Apr 06 22:42:32 PDT 2009
355,xKimmelie,exam,Mon Apr 06 22:42:37 PDT 2009
356,laulaulauren,exam,Mon Apr 06 22:42:47 PDT 2009
357,elllllen,exam,Mon Apr 06 22:42:49 PDT 2009
358,LPSsports43,cheney,Mon Apr 06 22:42:51 PDT 2009
359,joahs,cheney,Mon Apr 06 22:42:49 PDT 2009
360,paulobsf,mashable,Mon Apr 06 22:42:56 PDT 2009
361,christinerose,mashable,Mon Apr 06 22:42:59 PDT 2009
362,cfbloggers,jquery book,Mon Apr 06 22:43:06 PDT 2009
363,pdelsignore,jquery book,Mon Apr 06 22:43:12 PDT 2009
364,bskatz,goodby silverstein,Mon Apr 06 22:43:15 PDT 2009
365,sc0ttman,goodby silverstein,Mon Apr 06 22:43:17 PDT 2009
366,designplay,goodby silverstein,Mon Apr 06 22:43:18 PDT 2009
367,Drisgill,g2,Mon Apr 06 22:43:23 PDT 2009
368,DearJellyHiJely,g2,Mon Apr 06 22:43:22 PDT 2009
369,itamarw,g2,Mon Apr 06 22:43:26 PDT 2009
370,daynah,googleio,Mon Apr 06 22:43:29 PDT 2009
371,jackdaniels08,googleio,Mon Apr 06 22:43:31 PDT 2009
372,alpheus1,googleio,Mon Apr 06 22:43:38 PDT 2009
373,joshgammon,viral marketing,Mon Apr 06 22:43:42 PDT 2009
374,KatyWheatley1,hitler,Mon Apr 06 22:43:43 PDT 2009
375,TiffanyBakker,night at the museum,Mon Apr 06 22:43:44 PDT 2009
376,kezzumz,night at the museum,Mon Apr 06 22:43:46 PDT 2009
377,bodhibuggy,night at the museum,Mon Apr 06 22:43:48 PDT 2009
378,HistoryLuV3R,night at the museum,Mon Apr 06 22:43:49 PDT 2009
379,ErcDrso,night at the museum,Mon Apr 06 22:43:54 PDT 2009
380,aykataoka,night at the museum,Mon Apr 06 22:44:34 PDT 2009
381,Bcapote,night at the museum,Mon Apr 06 22:44:48 PDT 2009
382,crikket_churps,night at the museum,Mon Apr 06 22:44:52 PDT 2009
383,tish_tish,night at the museum,Mon Apr 06 22:44:57 PDT 2009
384,Lilimich,night at the museum,Mon Apr 06 22:45:05 PDT 2009
385,stealing_second,night at the museum,Mon Apr 06 22:45:08 PDT 2009
386,Pas_de_Cheval,night at the museum,Mon Apr 06 22:45:10 PDT 2009
387,lloydnelson,gm,Mon Apr 06 22:45:13 PDT 2009
388,overthrow,gm,Mon Apr 06 22:45:22 PDT 2009
389,economywire,gm,Mon Apr 06 22:45:29 PDT 2009
390,tradecruz,gm,Mon Apr 06 22:45:31 PDT 2009
391,ZendoDeb,gm,Mon Apr 06 22:45:33 PDT 2009
392,rbmshow,gm,Mon Apr 06 22:45:37 PDT 2009
393,Ash_Craigslist,gm,Mon Apr 06 22:45:40 PDT 2009
394,BarackProblema,gm,Mon Apr 06 22:45:44 PDT 2009
395,ericdano,gm,Mon Apr 06 22:45:46 PDT 2009
396,tradecruz,gm,Mon Apr 06 22:45:47 PDT 2009
397,ktsophie,gm,Mon Apr 06 22:45:51 PDT 2009
398,nicolemg415,gm,Mon Apr 06 22:45:53 PDT 2009
